Acido fijo; Acido volatil;Acido citrico;azucar residual;Cloruros;Libre dioxido de azufre;dioxido de sulfuro total ;densidad;pH;sulfatos;alcohol;Calidad
7;33;32;12;53;38;138;9906;313;28;112;6
74;2;36;12;38;44;111;9926;336;34;99;6
82;23;4;12;27;36;121;992;312;38;107;6
79;21;4;12;39;38;107;992;321;54;108;6
62;24;35;12;38;22;167;9912;31;48;106;6
63;33;27;12;46;34;175;9934;337;54;94;6
63;14;39;12;44;26;116;992;326;53;103;6
74;21;27;12;41;27;99;9927;319;33;98;6
74;21;27;12;41;27;99;9927;319;33;98;6
73;2;37;12;37;48;119;992;332;49;109;6
58;31;33;12;36;23;99;9916;318;6;105;6
59;29;25;12;57;48;224;9981;323;41;9;6
6;39;17;12;46;65;246;9976;315;38;9;6
73;24;29;12;37;37;97;9926;319;7;101;6
75;21;34;12;6;26;111;9931;351;47;107;6
75;21;34;12;6;26;111;9931;351;47;107;6
62;55;45;12;49;27;186;9974;317;5;93;6
71;21;4;12;69;24;156;9928;342;43;106;6
65;22;34;12;53;55;177;9983;352;44;99;6
69;2;28;12;48;36;159;9936;319;43;91;6
97;24;45;12;33;11;59;9926;274;47;108;6
76;28;39;12;38;21;115;994;316;67;10;6
94;26;53;12;47;25;109;9921;323;28;125;6
52;37;33;12;28;13;81;9902;337;38;117;6
9;24;5;12;48;26;107;9918;321;34;124;6
79;2;34;12;4;29;118;9932;314;41;106;6
71;29;49;12;31;32;99;9893;307;33;122;6
63;27;49;12;63;35;92;9911;338;42;122;6
74;16;49;12;55;18;150;9917;323;47;112;6
74;16;49;12;55;18;150;9917;323;47;112;6
63;27;49;12;63;35;92;9911;338;42;122;6
74;16;49;12;55;18;150;9917;323;47;112;6
83;19;49;12;51;11;137;9918;306;46;11;6
76;51;24;12;4;10;104;992;305;29;108;6
66;19;99;12;122;45;129;9936;309;31;87;6
79;14;74;12;28;30;165;991;308;82;123;6
68;21;74;12;47;25;111;9916;313;41;107;6
